Fecha;Casos;Test
2020-03-17;2;3
2020-03-18;3;10
2020-03-19;0;6
2020-03-20;0;1
2020-03-21;0;3
2020-03-22;1;3
2020-03-23;3;7
2020-03-24;0;7
2020-03-25;2;12
2020-03-26;1;9
2020-03-27;0;6
2020-03-28;1;8
2020-03-29;2;14
2020-03-30;4;5
2020-03-31;0;10
2020-04-01;1;12
2020-04-02;0;21
2020-04-03;1;10
2020-04-04;2;10
2020-04-05;1;9
2020-04-06;1;14
2020-04-07;2;20
2020-04-08;2;8
2020-04-09;5;12
2020-04-10;1;11
2020-04-11;7;13
2020-04-12;1;6
2020-04-13;7;25
2020-04-14;13;29
2020-04-15;9;34
2020-04-16;10;30
2020-04-17;8;39
2020-04-18;9;21
2020-04-19;7;17
2020-04-20;5;22
2020-04-21;6;22
2020-04-22;13;33
2020-04-23;21;43
2020-04-24;11;31
2020-04-25;8;24
2020-04-26;7;13
2020-04-27;29;41
2020-04-28;36;66
2020-04-29;35;95
2020-04-30;47;93
2020-05-01;10;21
2020-05-02;30;41
2020-05-03;35;54
2020-05-04;60;107
2020-05-05;88;154
2020-05-06;46;109
2020-05-07;87;131
2020-05-08;93;130
2020-05-09;44;88
2020-05-10;41;68
2020-05-11;113;163
2020-05-12;118;183
2020-05-13;82;158
2020-05-14;87;130
2020-05-15;80;142
2020-05-16;82;100
2020-05-17;76;108
2020-05-18;93;119
2020-05-19;123;174
2020-05-20;103;145
2020-05-21;42;66
2020-05-22;122;156
2020-05-23;83;109
2020-05-24;74;99
2020-05-25;158;193
2020-05-26;131;185
2020-05-27;108;155
2020-05-28;102;128
2020-05-29;96;135
2020-05-30;75;100
2020-05-31;42;61
2020-06-01;126;171
2020-06-02;125;170
2020-06-03;114;137
2020-06-04;117;137
2020-06-05;107;135
2020-06-06;62;68
2020-06-07;48;68
2020-06-08;130;174
2020-06-09;123;164
2020-06-10;103;131
2020-06-11;133;174
2020-06-12;90;136
2020-06-13;89;120
2020-06-14;77;112
2020-06-15;139;186
2020-06-16;111;183
2020-06-17;157;229
2020-06-18;123;206
2020-06-19;116;202
2020-06-20;94;149
2020-06-21;92;136
2020-06-22;119;226
2020-06-23;94;168
2020-06-24;112;203
2020-06-25;105;227
2020-06-26;132;203
2020-06-27;54;84
2020-06-28;90;130
2020-06-29;35;80
2020-06-30;108;211
2020-07-01;87;185
2020-07-02;85;182
2020-07-03;61;158
2020-07-04;26;67
2020-07-05;52;108
2020-07-06;72;239
2020-07-07;69;252
2020-07-08;62;244
2020-07-09;78;293
2020-07-10;57;281
2020-07-11;55;372
2020-07-12;27;107
2020-07-13;90;389
2020-07-14;79;378
2020-07-15;57;322
2020-07-16;28;116
2020-07-17;39;152
2020-07-18;28;119
2020-07-19;33;116
2020-07-20;56;368
2020-07-21;61;234
2020-07-22;64;407
2020-07-23;66;621
2020-07-24;47;334
2020-07-25;27;242
2020-07-26;16;59
2020-07-27;33;150
2020-07-28;37;379
2020-07-29;41;287
2020-07-30;32;213
2020-07-31;47;359
2020-08-01;33;250
2020-08-02;8;52
2020-08-03;48;202
2020-08-04;59;293
2020-08-05;69;430
2020-08-06;45;337
2020-08-07;27;429
2020-08-08;22;277
2020-08-09;8;50
2020-08-10;87;388
2020-08-11;65;350
2020-08-12;49;303
2020-08-13;15;489
2020-08-14;16;375
2020-08-15;12;56
2020-08-16;3;41
2020-08-17;19;236
2020-08-18;23;352
2020-08-19;23;347
2020-08-20;18;389
2020-08-21;21;364
2020-08-22;27;257
2020-08-23;28;56
2020-08-24;42;119
2020-08-25;34;238
2020-08-26;31;366
2020-08-27;19;412
2020-08-28;10;301
2020-08-29;13;368
2020-08-30;8;365
2020-08-31;20;288
2020-09-01;28;415
2020-09-02;49;302
2020-09-03;42;396
2020-09-04;27;352
2020-09-05;29;280
2020-09-06;8;54
2020-09-07;18;209
2020-09-08;31;327
2020-09-09;43;313
2020-09-10;25;327
2020-09-11;28;170
2020-09-12;25;275
2020-09-13;12;61
2020-09-14;68;372
2020-09-15;67;366
2020-09-16;28;125
2020-09-17;15;78
2020-09-18;19;42
2020-09-19;14;69
2020-09-20;0;53
2020-09-21;27;292
2020-09-22;46;511
2020-09-23;9;409
2020-09-24;32;302
2020-09-25;63;281
2020-09-26;16;270
2020-09-27;7;55
2020-09-28;34;330
2020-09-29;8;297
2020-09-30;7;225
2020-10-01;15;284
2020-10-02;4;184
2020-10-03;11;170
2020-10-04;6;38
2020-10-05;7;148
2020-10-06;12;384
2020-10-07;8;331
2020-10-08;7;222
2020-10-09;9;179
2020-10-10;8;196
2020-10-11;1;23
2020-10-12;2;47
2020-10-13;6;169
2020-10-14;6;186
2020-10-15;26;268
2020-10-16;2;146
2020-10-17;5;133
2020-10-18;2;13
2020-10-19;29;150
2020-10-20;17;191
2020-10-21;5;205
2020-10-22;1;202
2020-10-23;1;248
2020-10-24;5;189
2020-10-25;2;30
2020-10-26;7;202
2020-10-27;7;351
2020-10-28;8;292
2020-10-29;5;192
2020-10-30;6;215
2020-10-31;4;31
2020-11-01;0;30
2020-11-02;10;180
2020-11-03;6;411
2020-11-04;7;401
2020-11-05;15;214
2020-11-06;5;151
2020-11-07;8;129
2020-11-08;1;41
2020-11-09;9;107
2020-11-10;8;232
2020-11-11;8;310
2020-11-12;25;210
2020-11-13;10;116
2020-11-14;3;144
2020-11-15;2;24
2020-11-16;14;226
2020-11-17;11;271
2020-11-18;6;220
2020-11-19;7;176
2020-11-20;7;132
2020-11-21;0;88
2020-11-22;3;36
2020-11-23;2;187
2020-11-24;11;282
